22:54:13 - localhost:1500
22:54:13 - Starting servent [18|localhost|1500]
22:54:13 - Pausing for 60000 ms
22:54:13 - Acquiring token...
22:54:13 - Requested token
22:55:13 - Got message [cHashSp:5|sPort:localhost:1000|mId:123|mTxt:pong|mTyp:PONG|rPort:localhost:1500|cHashRp:18]
22:55:13 - Pausing for 10000 ms
22:55:14 - Sending message [cHashSp:18|sPort:localhost:1500|mId:55|mTxt:pong|mTyp:PONG|rPort:localhost:1600|cHashRp:27]
22:55:14 - Sending message [cHashSp:18|sPort:localhost:1500|mId:56|mTxt:ping|mTyp:PING|rPort:localhost:1000|cHashRp:5]
22:55:15 - Got message [cHashSp:27|sPort:localhost:1600|mId:46|mTxt:ping|mTyp:PING|rPort:localhost:1500|cHashRp:18]
22:55:15 - Got message [cHashSp:5|sPort:localhost:1000|mId:125|mTxt:pong|mTyp:PONG|rPort:localhost:1500|cHashRp:18]
22:55:16 - Sending message [cHashSp:18|sPort:localhost:1500|mId:57|mTxt:pong|mTyp:PONG|rPort:localhost:1600|cHashRp:27]
22:55:16 - Got message [cHashSp:27|sPort:localhost:1600|mId:48|mTxt:ping|mTyp:PING|rPort:localhost:1500|cHashRp:18]
22:55:17 - Sending message [cHashSp:18|sPort:localhost:1500|mId:58|mTxt:ping|mTyp:PING|rPort:localhost:1000|cHashRp:5]
22:55:17 - Sending message [cHashSp:18|sPort:localhost:1500|mId:59|mTxt:pong|mTyp:PONG|rPort:localhost:1600|cHashRp:27]
22:55:17 - Got message [cHashSp:5|sPort:localhost:1000|mId:127|mTxt:pong|mTyp:PONG|rPort:localhost:1500|cHashRp:18]
22:55:18 - Got message [cHashSp:27|sPort:localhost:1600|mId:50|mTxt:ping|mTyp:PING|rPort:localhost:1500|cHashRp:18]
22:55:18 - Sending message [cHashSp:18|sPort:localhost:1500|mId:60|mTxt:ping|mTyp:PING|rPort:localhost:1000|cHashRp:5]
22:55:18 - Sending message [cHashSp:18|sPort:localhost:1500|mId:61|mTxt:pong|mTyp:PONG|rPort:localhost:1600|cHashRp:27]
22:55:19 - Got message [cHashSp:5|sPort:localhost:1000|mId:129|mTxt:pong|mTyp:PONG|rPort:localhost:1500|cHashRp:18]
22:55:20 - Got message [cHashSp:27|sPort:localhost:1600|mId:52|mTxt:ping|mTyp:PING|rPort:localhost:1500|cHashRp:18]
22:55:20 - Sending message [cHashSp:18|sPort:localhost:1500|mId:62|mTxt:ping|mTyp:PING|rPort:localhost:1000|cHashRp:5]
22:55:21 - Sending message [cHashSp:18|sPort:localhost:1500|mId:63|mTxt:pong|mTyp:PONG|rPort:localhost:1600|cHashRp:27]
22:55:21 - Got message [cHashSp:5|sPort:localhost:1000|mId:131|mTxt:pong|mTyp:PONG|rPort:localhost:1500|cHashRp:18]
22:55:22 - Sending message [cHashSp:18|sPort:localhost:1500|mId:64|mTxt:ping|mTyp:PING|rPort:localhost:1000|cHashRp:5]
22:55:22 - Got message [cHashSp:27|sPort:localhost:1600|mId:54|mTxt:ping|mTyp:PING|rPort:localhost:1500|cHashRp:18]
22:55:23 - Simulating node crash...
